"","X","polyname","RUCC","County","VAM","year","state","state.low","county.low","fips","colorID","color"
"10094",10094,"ohio,coshocton",7,"Coshocton County",NA,1963,"Ohio","ohio","coshocton county",39031,NA,NA
"10095",10095,"ohio,coshocton",7,"Coshocton County",987,1954,"Ohio","ohio","coshocton county",39031,15,"#1504FD"
"10096",10096,"ohio,coshocton",7,"Coshocton County",NA,1958,"Ohio","ohio","coshocton county",39031,NA,NA
"10097",10097,"ohio,coshocton",7,"Coshocton County",226,1929,"Ohio","ohio","coshocton county",39031,4,"#D90C60"
"10098",10098,"ohio,coshocton",7,"Coshocton County",718,1947,"Ohio","ohio","coshocton county",39031,11,"#6A15F5"
"10099",10099,"ohio,crawford",7,"Crawford County",308,1929,"Ohio","ohio","crawford county",39033,5,"#CC1180"
"10100",10100,"ohio,crawford",7,"Crawford County",NA,1963,"Ohio","ohio","crawford county",39033,NA,NA
"10101",10101,"ohio,crawford",7,"Crawford County",NA,1954,"Ohio","ohio","crawford county",39033,NA,NA
"10102",10102,"ohio,crawford",7,"Crawford County",852,1947,"Ohio","ohio","crawford county",39033,13,"#3F0CF9"
"10103",10103,"ohio,crawford",7,"Crawford County",NA,1958,"Ohio","ohio","crawford county",39033,NA,NA
"10104",10104,"ohio,cuyahoga",1,"Cuyahoga County",NA,1947,"Ohio","ohio","cuyahoga county",39035,NA,NA
"10105",10105,"ohio,cuyahoga",1,"Cuyahoga County",NA,1963,"Ohio","ohio","cuyahoga county",39035,NA,NA
"10106",10106,"ohio,cuyahoga",1,"Cuyahoga County",NA,1958,"Ohio","ohio","cuyahoga county",39035,NA,NA
"10107",10107,"ohio,cuyahoga",1,"Cuyahoga County",560,1929,"Ohio","ohio","cuyahoga county",39035,9,"#951DF1"
"10108",10108,"ohio,cuyahoga",1,"Cuyahoga County",NA,1954,"Ohio","ohio","cuyahoga county",39035,NA,NA
"10109",10109,"ohio,darke",6,"Darke County",561,1958,"Ohio","ohio","darke county",39037,9,"#951DF1"
"10110",10110,"ohio,darke",6,"Darke County",441,1954,"Ohio","ohio","darke county",39037,7,"#B319C0"
